,text
0,В 6 общпге случайно нет автомата с кофе?🕊️
1,Можно ли сделать перевод из университета РГАУ на политех?
2,А твоё сердечко как можно купить?
3,Юнос когда депортация в москоу политехникал унивёрсити?
4,А ты по специальности щя работаешь?
5,Ну вот я живу на юге и снял жилье за 25к риэлтор делит эту сумму пополам 50% себе 50% агенству итого он имеет 12500 с одного меня а мы заключали договор 2 дня Если на москву отразить то наверное нормальные деньги можно зарабатывать но в то же время это как бы сделка с совестью ибо люди оооочень недолюбливают риэлторов но кому какое дело а?
6,какой процент от зп получается?
7,а когда переводятся собесов никаких не нужно проходить?
8,Где в шестом общежитии стиральные машины?
9,Добрый вечер Подскажите есть ли у кого в понедельник пары в 535 аудитории на ПК? Я там наушники забыла хочу как можно скорее забрать
10,Добрый вечер  Подскажите пожалуйста как найти чат магистратуры факультет машиностроения?
11,Где можно посмотреть даты сессий/отпуска учебные?
12,ребят кто знает где можно посмотреть номер личного дела в ЛК студента? ЛК абитура нету а списки по общаге глянуть хочется((((
13,То есть декабрь-январь каникул нет?
14,Всем привет новогодние каникулы в какие даты попадает и сколько длится кто-то знает?
15,а 4 ноября (понедельник) мы получается не учимся?
16,почему его за рекламу не банят?
17,Ребята  больше нет чатов кто ищет квартиры?
18,🚶‍♀️ А что выберете вы?  Напоминаем что в Московском Политехе идёт приём документов на программы бакалавриата и специалитета по очно-заочной и заочной формам обучения на платные места на 2024/2025 учебный год   Подробную информацию смотрите на сайте Московского Политеха по ссылке ниже  → Смотреть 🐾  Проголосовать | @mospolytech
19,Дорогие друзья Очно заочно учатся дистанционно?
20,Всем привет Кто подскажет как будет выглядеть организационная встреча завтра для вечерников? просто рассказ об универе или встреча со своей группой и тьютором? заранее мерси🥺
21,серьёзно? или это говорят чисто для запугивания?
22,А какую надо карту взять чтобы ездить пока?
23,А как камеры могут меня оштрафовать?😂
24,А пока ее нет можно зайчиком проезжать?
25,А для студентов какие-то бывают?
26,Здравствуйте У кого нибудь есть доп номер студ городка ?
27,а снилс загружен?у меня ещё с ним были проблемы поэтому тоже не пускал сначала
28,я сейчас оформляю социалку и надо ввести адрес регистрации писать то что в паспорте или адрес общаги?
29,есть кто-нибудь кого ещё не внесли в реестр студентов?
30,или уже точную информацию дадут?
31,когда начинается учеба у заочных?
32,а есть в этом чате заочники на теплоэнергетике?
33,У нас есть корпоративная почта?
34,где взять почту @studmospolytechru?
35,А тут есть кто-нибудь из творческой мастерской (поет/танцует)? Есть предложение с ансамблем
36,Сколько дней можно долг по общаге держать ?
37,могу банить и мутить кстати хочешь потестим ?
38,Не подскажите если ли у политеха официальная группа в тг по волейболу?
39,А сколько нужно предложить чтобы бан не получить?
40,вы баните их ибо зп маленькую предлагают?
41,Всем привет Меня зовут Маша я студентка 2 курса и по совместительству Наставник который активно набирает себе команду Если ты…  Ты хочешь открыть свое дело но не знаешь с чего начать? Я помогу тебе   Каждый студент может реализовать свою бизнес-идею благодаря бесплатному курсу от программы по развитию молодёжного предпринимательства «Я в деле»🤩  🪙Что тебя ждёт?  ▪9 недель теоретического и практического обучения = готовый стартап на выходе 🎓 ▪Участие в команде на битве Проектов среди университетов Москвы 🥇 ▪Возможность Грантовой поддержки на реализацию проекта 💰 ▪Яркие и атмосферные выездные мероприятия 🥳 ▪Сотрудничество с крупневшими российскими бизнес-акселераторами 💻 ▪Обучение у профильных экспертов-действующих предпринимателей   📚 ▪️Новые полезные знакомства 🎤                                                     ПРОЕКТ ОФИЦИАЛЬНЫЙ   🔍 Готов учавствовать или  остались еще вопросы- пиши     @matonbaton  🕰 Поспеши ведь время — деньги да и к тому же места ограничены
42,Сейчас проходит день открытых дверей Меня интересует направление Графика Я не понимаю куда надо идти чтобы попасть в эту группу?
43,Типо значок ГТО == освобождение на семестр? (Значок осенью - второй семестр зачёт?)
44,Товарищи доброго вечера Подскажите пожалуйста где можно найти информацию о зачетах и экзаменах? Я имею в виду сам факт что по той-то дисциплине будет экзамен а по той-то — зачет
45,Подскажите пожалуйста какая форма нужна для физры?
46,Если не примут то скорее всего у тебя нет руки или ноги и это очень бросается в глаза  У тебя справку не приняли или ты её ещё не сдавал?
47,вопрос а что дописать в 86 справке чтобы точно приняли для физры?
48,Всем привет  кто-нибудь знает дату перездачи физику?
49,А сколько баллов нужно чтобы туда поступить?
50,А на заочке дадут справку об обучении ?
51,Добрый день Подскажите пожалуйста список лёгкое направление? Чтобы можно было  спокойно совмещать с работой
52,Какой телефон мобилизационного отдела?
53,Ну из Красногорска до Тульской дольше не?
54,Подскажите пожалуйста на ПК есть коворкинг?
55,Кто знает будет ли предоставляться общага грантникам из за границы?
56,Кому-то из первокурсников уже дали форму номер 4?
57,Где можно в Москве вкусно и дорого покушать ?
58,Когда стипуха Первошам капнет ?
59,а как подать заявление на повышенную стипендию? которая высокобальникам
60,Добрый вечер А что за дополнительное образование ПРИОРИТЕТ 2030 подскажите пожалуйста?
61,а погоди щас же заочка только осталась да? просто я на другие спецухи машиностроения экзики сдавал и там я скажу так что просто какие-то вопросики из банка вопросов задавали на специальности машиностроение (150401) вообще сначала узнали что я закончил другую инженерную спецуху и вопрос задали по ней на мехатронику (150406) два вопроса из одного блока было 2 вопроса третий из другого (устное на 60 баллов было) но там как мне сказали в один день у всех были одинаковые вопросы (про свой день не скажу я говорю это за других ребят которые мне об этом рассказывали) но у меня и у них были разные вопросы из разных блоков так что по хорошему готовиться надо ко всему но если найдешь магов с которыми можно скооперироваться и собраться в дсе чтобы запалить вопросы а потом помогать кентам то будет с кайфиком
62,Добрый вечер кто уже прошел вступительные магистратуры? Интересует этап устного собеседования сколько вопросов задают из приложенного списка?   И вопрос по достижениям Загрузка доп достижений осуществляется перед началом тестирования?
63,Подскажите пожалуйста как записаться на внеучебную деятельность? Везде только ссылки на ВК и тг
64,Хеллоу А до скольки центр карьеры работает не подскажете?
65,Сколько готовится форма номер 4? Уже 9 дней жду
66,Или забыл уже в этих своих америках?
67,😎 Ответим подскажем и покажем  Поступаете в следующем году? Кажется что времени достаточно но вопросы есть уже сейчас?   21 сентября состоится День открытых дверей в Московском Политехе в онлайн-формате Вы сможете задать вопрос напрямую представителям вуза  Какие баллы нужны для поступления на графику? Какое наполнение у комнат повышенного комфорта в общежитии? Как проходит сессия?   Вы можете задать нам любой вопрос а мы обязательно на него ответим  → Задать вопрос 🐈  @mospolyab
68,Дверь в принципе во сколько закрывают на ночь?
69,Ты уж подумала по блату ? Бедная
70,Круглосуточно если пропуск есть не?
71,Кто знает в 6 общежитие до скольки пускают? Я сказала охраннику что у меня прием у врача и приду где-то в 8 он сказал ок но в интернете написано что оно до 1830 открыто
72,В каком кабинете на ПК забирать справку что учишься?
73,Не получается зайти в СДО что делать?
74,сколько примерно после такого статуса делается карта?
75,Там разве не как пары по сути? 🧐 да и в целом мало у кого проводится?
76,А если уже поступила на заочку могу я забрать диплом который подавала при поступлении?
77,Для айтишников нет дистанциионной практики?
78,Которые бы заменили поход в армию? Тоже нет хотя была новость что что-то хотят вводить
79,А есть сторонние программы студентам ?
80,я имел в виду что по практике там мест всем хватает или нет?
81,Кто знает хватит ли места для того чтобы перевестись на заочку на 2 семестр (где-то в декабре-январе) с другого вуза?
82,Можно ли не прикрепляться к московской поликлинике чтобы получить карту москвича?
83,Брать два аттестата для Црс за 9 и 11?
84,И сколько стоит проезд на метро по ней ?
85,как подписать договор найма для общежития?
86,а может и до к н протяну кто знает?))
87,А есть причины почему именно политех?
88,Где вы пропуск для общаг делали?
89,кто в волейбол хорошо умеет играть?
90,Ты не любишь мальчиков помладше?
91,Здравствуйте всем  Я поступаю в очно-заочное форма обучения кто-нибудь подскажет когда экзамены будут и начало обучения??  Спасибо
92,А где? Я вот за мир во всем мире Ахахха
93,нормальные вы тут диалоги ведете 282 отменили что ли?
94,А где изначально? Я сказала что пока все живы здоровы - все ок  И пошла тема про хату с краю ахаххаха
95,а кст курсачи же тоже проверяют? у нас просто было 8 курсачей ни один проверку не проходил на антиплагиат
96,Политех проверяет диплом на ии?
97,а т е это есть но не систематизированно?
98,а кста в мос политехе же есть такие понятия как система брс и автоматы?
99,ты хочешь чтобы тебе турки писали?
100,а это не тот тип что в чате мос полихеха познакомиться хотел?
101,Ты слышала что-то про неоф посвяты? Я нет
102,насколько резонно обсуждать существование неоф посвята в оф чате политеха?
103,люди существует ли в Политехе неоф посвят?
104,А вы не знаете случайно сколько она делается по времени?
105,Подскажи пж как найти форму 10 в лк?
106,Народ вопрос такой Я неделю назад заполнил все формы и заказал справку для военкомата а сколько она вообще делается?
107,Подскажите где форма 10 находится в лк?
108,Здесь чат найма на работу  которую даже не озвучивают?
109,подскажите пожалуйста приложение на скрине?
110,Народ ее где то закрепить нужно?
111,Подскажите а если я сделаю временную регистрацию за той самой дорогой А-107 то у меня будет возможность получить место в общаге?
112,мне надо позвонить куда-то и сказать чтобы приняли мой снилс?
113,кто то на экономику поступил? 🫠
114,А какое его официальное название?
115,А где можно оформить проездной ?
116,Кто-нибудь может знает есть какие-то плюшки от красного диплома?
