Column1;text
0;Никто не находил белые беспроводные наушники Хуавей на ПК в 535 аудитории?
1;ребят у кого были в прошлых годах пересдача по сетям у карпова как вы закрывали?
2; ??Ребят кого-нибудь добавили в беседу «творческая мастерская» после 25 числа? А то чёт переживаю
3;Кто может помочь с разобраться с автокадом на маке для программной инженерии?
4;Есть какой-нибудь клуб любителей настолок в вузе?
5;Те кто был в академе 2 года подскажите вас в армию забрали или чее?
6;Можно ли обучаться в нашем вузе по индивидуальному графику?
7;Как проходит процесс переселения в другое общежитие? Реально ли переселиться в 4 или 6 не участвуя в жизни университета? Такой же вопрос про комнаты повышенной комфортности
8;Кто шарит поясните за градацию п*здюлей на комиссии Например выговор замечание и тд Что хуже и сколько ачивок нужно собрать для вылета из универа/общаги?
9;Ребят может у кого-то остались решения задач из сборника «расчет элементов автомобильных гидросистем»? Найду по лайкам 
10;Кто поступил на очну -заочную строительство? Куда идти что делать сказали что первого числа начнётся учёба Мб есть беседа
11;Есть кто-нибудь с ПД «Развёртывание информационной платформы медицинских учреждений и разработка мобильного приложения»? Найдитесь пожалуйста ??
12;Кто-нибудь в курсе когда начнётся заселение в общагу у тех кто подал заявку после 1509? Или когда опубликуют список ожидающих в очереди как раньше ?
13;кто-нибудь знает адрес почты договорного отдела?
14;День добрый Вопрос такой можно ли перевестись на другое направление на 1-ом курсе магистратуры?
15; Расскажите как проходит сессия иситИ реально ли списать?
16;Есть кто-нибудь у кого ПД «ИТ-сервисы для Цифрового университета»? Отзовитесь пожалуйста
17;Скажите пожалуйста как проходит пересдача по физике что нужно учить?????
18;Доброго времени суток Есть те кто разбирается в основах мат моделирования? (3 курс)
19;На пары обязательно ходить ?
20;у меня пересдача по мат аналу интересно как проходит пересдача может на троечку только тесты надо сделать? или еще че-тт
21;Привет у кого-то есть ответы на билеты Григорьева ОТК? 1 курс спрашивает 
22;Привет на адаптиве краем глаза видел что в политехе собирают группу по боксу есть инфа какая-нибудь?
23;Правильно ли я понялчто первая сессия у перваков дистанционно?
24;Привет всем Тут есть студенты направления 290303 от 2 курса? После первого курса вроде есть выбор специальности и хотелось бы поподробнее узнать что вы изучаете на дизайне и бизнесе? И можете рассказать про преподавателей к кому какой подход Буду благодарен
25;Ребят привет а у всех работает карта москвича (социалка 2-4 курс)?Паспортные данные обновляли в этом плане все в порядкеГоворят дело в реестре студентов что просто по приколу удалили(
26;Что за группа технического обеспечения и как туда попасть?
27; найду по лайкамя на 1 курсе иситакто-то может помочь с лабами по офис приложениям  и введением в программирование? может у кого-то остались со старших курсов
28;Ребят подскажите пожалуйста На заочке онлайн пар вообще много? Возможно ли как-нибудь совмещать учебу с своим графиком работы 5/2? Если что факультет информационных технологий
29;Всем привет Кто-нибудь ищет себе соседку девушку в 6-ом общежитии? ??Описание соседки тихая спокойная не мусорю не курю не пью не шумлю смотрю видео и слушаю музыку в наушниках не вожу никого в комнату ложусь спать до 0000 ??
30;Всем привет Ни у кого не остались практические работы по ОРГ?
31;А что за группировка с черно-белыми аватарками? Просто их ответы слишком правдоподобны
32;Всем привет Есть кто из группы заочников? 243-322давайте хоть чатик создадим??))
33;РебятсрочноКак проходят пересдачи по англу у Грейдиной?????
34;Привет Перевожусь на 3 курс рисо (очно-заочная форма) факультет экономики и управления До сих пор написано на сайте что будет рассмотрено на заседании комиссии Я очень устала ждать ответа и переживать ??Возможно кто-то имеет хорошие контакты на кафедре? Возможно вы в курсе когда будет это заседание комиссии?
35;Сколько готовится форма 4?
36;Всем привет Кто оформлял социальную карту? Подскажите какие документы еще нужны помимо паспорта и справки из универа?
37;Где все нефоры?
38;Потерял диплом что делать? Помогите
39;Подскажите пожалуйста известно ли когда ориентировочно выложат расписание пересдач у кафедры менеджмент?
40;Ребята которые учатся на заочке (издательское дело желательно) вопросы к вам 1 Как проходит обучение на заочке? Сложно ли? 2 Есть ли занятия в зуме с преподами или только в электронных курсах проходит обучение? 3 Сколько длится обучение? 4 Сколько длится установочная сессия? 5 Какие ваши впечатления или мнение на счёт обучения на заочке?
41;Подскажите пожалуйста на рекламу поступать бакалавриат стоит? Как преподаватели?
42;подскажите как обстоят дела с общежитиями для первашей? может есть какие-то советы лайфхаки?) может ребята которые съезжают продают какую-то технику/мебель?
43;Можно ли уйти в академ с долгами?
44;Вот вопрос есть возможно ли поступить без олимпиад? Если я хорошо напишу егэ
45;Что насчет одежды в вуз?Есть ли какие-то ограничения?
46;Всем привет Есть ли в общежитиях холодильник?
47;можете что то рассказать о Антоновой Ландыш Халяфивне? нужно ли готовиться к Вьетнаму или все будет ок? 
48;Что будет если не продлевать студак ?
49;Всем привет кто тут числится в проекте «Проект 30»?Поставьте лайк или оставьте комментарий 
