,text
0,"Здравствуйте Подскажите пожалуйста как проходит пересдача по предмету ""Управление проектами""? Когда будет открыт доступ к тестам чтобы их переделать?"
1,А почему ДПО является ОБЯЗАТЕЛЬНОЙ частью образовательной программы?
2,Речи что будут проблемы даже не шло ДПО по 1С это часть ПД Было сказано что это будет влиять на оценку Возможно я что-то не поняла но мне кажется эти слова немного противоречат друг другу Так проблемы с зачётом по ПД будут в итоге или нет? (если не подписываться на данное ДПО)  Зубцова Яна 231-337
3,Хорошо допустим я ошиблась/не расслышала Мои два вопроса остаются  1 Влияет на оценку каким образом? Без курса не поставят зачёт по ПД в принципе?  2 Каким образом будет сокращена нагрузка?
4,Я лично к вам приходила с этим ДПО Вы сейчас серьезно будете мне доказывать то что я не говорила?  Единственное что было сказано это влияние ДПО на оценку так как это реализуется в рамках ПД
5,Добрый вечер  Сегодня нам сообщили что записывают всю группу на ДПО по 1С сказали что если не ходить/не записываться - будут проблемы с проектной деятельностью но какие именно проблемы - не уточнили Сказали еще что это будет проходить в дни проектной деятельности вечером (4 пары в неделю с семи до девяти вечера) при этом нагрузка именно по части ПД будет уменьшена но каким образом - тоже не уточнили  Два вопроса  1 Если отказаться от этой программы то каким образом это повлияет на зачёт по ПД? (Не поставят заслуженные баллы на защитах/в принципе не поставят зачёт/ещё какой-то вариант) 2 Каким образом будет уменьшена нагрузка по ПД? (Меньше часов/меньше порог для получения зачёта/ещё какой-то вариант) Давыденко Нэлла 231-337
6,Здравствуйте Есть какая-нибудь информация о проекте «Информирование и мотивация сотрудников предприятия по выполнению требований по качеству» ? Дату первой встречи переносят уже 3 раза боюсь что в этом проекте недобор и думаю меня должны перекинуть в другой проект где есть свободные места
7,Здравствуйте мы записались на проект ALLRussia info но его переносят каждую неделю можно узнать что следует сделать для пересдачи (у нас еще преподаватель не назначен не можем ему написать)?
8,Здравствуйте у меня такой проблемы есть я выбрел пд Динамика и прочность специальных транспортных сооружений Тут оказываются что иностранцы не примет потому что тут про военные техники скрыты все  я сейчас могу ли другой пд перевести?
9,Здравствуйте проект Allrussia уже месяц у нас нет информации о первой встрече хотелось бы узнать что нам делать и успеем ли аттестоваться?
10,"Здравствуйте У группы ""Разработка дизайна и художественного серийного оформления"" (в которой я состою) отсутствует информация о месте и времени завтрашней первой встречи Когда эта информация появится и не возникнет ли ситуация переработки из-за позднего начала работы со скорой первой аттестацией?"
11,Здравствуйте У меня пересдача по основам технологического предпринимательства Итогового теста нет у этой дисциплины?
12,Здравствуйте какие даты двух аттестаций и итоговой защиты?  Спрашивает Гуров Арсений Эрнестович из группы 231-352
13,Добрый вечер Подскажите пожалуйста предусмотрено ли возмещение средств затраченных на реализацию проекта? Например если в каталоге материалов которые можно запросить у ЦПД не нашлось нужных Заранее спасибо за ответ
14,"Здравствуйте я Алмазбек уулу Ильяз из группы 211-323 хотел бы узнать о проекте ""ИТ-сервисы для цифрового университета"" В расписании указано что информация о кураторе уточняется а датой первого занятия назначено 23 сентября (до этого было 16 сентября) Имею задолженность по ПД за прошлый семестр поэтому есть необходимость набирать дополнительные баллы в текущем но как сказано выше не имею возможности получить задание для набора баллов Что мне делать в этой ситуации?"
15,"👋 Добрый день уважаемые студенты 1 курса  Приглашаем вас на вводное занятие по дисциплине ""Введение в проектную деятельность"" которое состоится в понедельник 16 сентября в 1430 в формате онлайн  🔗 Ссылка для подключения https//vkcom/video-78395495_456239194?list=ln-NZdE7OTkZk97Qpmljb"
16,Здравствуйте я Нахимов Абдулмаин из группы 221-351 хотел бы узнать о проекте «Развёртывание информационной платформы медицинских учреждений и разработка мобильного приложения» В расписании указано что информация о кураторе уточняется а датой первого занятия назначено 16 сентября (до этого было 9 сентября) Имею задолженность по ПД за прошлый семестр поэтому есть необходимость набирать дополнительные баллы в текущем но как сказано выше не имею возможности получить задание для набора баллов Что мне делать в этой ситуации?
17,"Здравствуйте я Алмазбек уулу Ильяз из группы 211-323 хотел бы узнать о проекте ""ИТ-сервисы для цифрового университета"" В расписании указано что информация о кураторе уточняется а датой первого занятия назначено 16 сентября (до этого было 9 сентября) Имею задолженность по ПД за прошлый семестр поэтому есть необходимость набирать дополнительные баллы в текущем но как сказано выше не имею возможности получить задание для набора баллов Что мне делать в этой ситуации?"
18,Здравствуйте я Епишин Анатолий Анатольевич Группа 211-172 Направление моего проекта IT Имя моего проекта «Автоматизированная информационная система для транспортной компании» В расписании указано что информация о кураторе уточняется а датой первого занятия назначено 16 сентября (до этого было 9 сентября) Имею задолженность по ПД за прошлый семестр поэтому есть необходимость набирать дополнительные баллы в текущем но как сказано выше не имею возможности получить задание для набора баллов Что мне делать в этой ситуации?
19,"Здравствуйте Я Головко Анна Игоревна восстановилась на 4 курс на бюджетную очную форму обучения Группа 211-261 Мне предоставили список учебных дисциплин обязательных к ликвидации В списке всего одна дисциплина ""Основы технологического предпринимательства"" кафедра дисциплины ""Центр проектной деятельности"" Но в СДО все задания по этому курсу у меня помечены выполненными Все дисциплины кроме проектной деятельности были сданы за первый семестр Мне нужно снова посещать и сдавать эти дисциплины? Подскажите пожалуйста"
20,Здравствуйте Меня зовут Родченко Егор Игоревич Группа 231-661 перевелся из группы 221-711 В моем личном кабинете не обозначен мой пооект Скажите есть ли возможность вступить в проект «HR бренд МосГорТранс» ?руководитель  Киселёва ЕМ
21,Вот ссылка на расписание (2-5 курсы) для тех кто читает закреплённые сообщения https//docsgooglecom/spreadsheets/u/1/d/e/2PACX-1vSybcuU7Cv0_IGEg8sP7LD_mxQYu3akGUj_xxKX-5gXtdqcwAeDhtWRM8d4WGqscS3_LIQBWUThqoXk/pubhtml?gid=0&single=true
22,Здравствуйте Кошелева Анна Александровна 221-752   При выборки проектаучитывала его местонахождение Выбрала проект(Книга Будущего) который указывался на Пряникахв итоге почему то автозаводская Самое ужасное что в среду мне нужно быть на пряникаха потом бежать в течении перерыва на другой конец Москвы Можно ли сменить проектв данном случае?
23,"Здравствуйте Я Панова Дарья Сергеевна группа 221-372 Информационные системы и технологии Меня автоматически определили в проект ""Интегрированная автоматизация производства изделий в интеллектуальной технологической линии"" Этот проект приоритетный и на него нельзя попасть без анкетирования которого я не проходила Также на витрине проекта указано что   ""В проект будут приглашены студенты следующих профилей «Интеллектуальная радиоэлектроника и промышленный Интернет вещей» «Роботизированные комплексы» «Роботы и робототехнические устройства»"" Я не отношусь ни к одному из этих профилей и довольно далека от них и не обладаю навыками необходимыми для работы в приоритетном проекте  Не смогла выбрать свой проект на котором до этого была 3 семестра(Политех-навигация(ПолиНа)Web) мне посоветовали не выбирать никой другой и написать гугл форму об ошибке в цпд но автоматически перебросили на приоритетный проект Возможно ли каким-то образом решить эту проблему?"
24,Здравствуйте это Прокуров Артемий Дмитриевич 221-365  Пытался записаться на проект Fungi отправлял гугл форму но проект долго не отображался а потом вовсе отобразился совершенно другой буквально за 2 недели до сентября писал в цпд но до сих пор не получил ответа Как мне попасть в желаемый проект? Подскажите пожалуйста
25,Здравствуйте Это Ильиных Анастасия из группы 231-661 Пишу вам уже не сосчитать какой раз Писала и в чат в тг и на почту и Гугл форму заполняла ответа нет 12 июля был выбор проектов моего факультета Я хотела выбрать проект «Семья как совместный проект» однако есть проблема В личном кабинете у меня не было выбора Те проект выбрался сам по себе хотя я зашла в лк вовремя В разделе проектная деятельность автоматом поставился проект HR бренд бизнескар а это совсем не то направление которое я хотела Подскажите пожалуйста почему произошла такая несправедливость почему у всех был выбор а у меня нет? Как решить эту проблему и попасть на проект который я хотела выбрать но мне не дали даже возможности?
26,https//docsgooglecom/spreadsheets/u/1/d/e/2PACX-1vSybcuU7Cv0_IGEg8sP7LD_mxQYu3akGUj_xxKX-5gXtdqcwAeDhtWRM8d4WGqscS3_LIQBWUThqoXk/pubhtml?gid=0&single=true
27,"Здравствуйте Я Круглова Светлана Сергеевна из группы 211-223 Когда открылась запись на проекты у меня в графе был написан проект на котором я была ранее (Сборная Мосполитеха по профессиональному мастерству компетенция ""Реверсивный инжиниринг и аддитивные технологии "") но сейчас он изменился на совершенно другой — ""Гибкая автоматическая линия изготовления фильтрующих элементов из ППР"" Можно ли вернуть меня на старый проект? Мне остался последний семестр и было бы обидно потерять всё наработанное на своём изначальном проекте"
28,"Здравствуйте Я Катасонов Никита Андреевич студент группы 221-323 Должен был оставаться на проекте ""Стратегический проект Формирование предпрофессиональной образовательной среды в Московском Политехе"" но был переопределён на ""Станция для борьбы с информационной зависимостью"" Подскажите пожалуйста можно ли вернуться обратно?"
29,"@Ivan_Petukhov_1  Здравствуйте администрация ЦПД Вас беспокоит Зимина Карина Владимировна нынешняя группа - 231-335 В прошлом году я состояла в проекте ""Политех-навигация"" хотела остаться в проекте При выборе многим студентам кто уже был на проекте не хватило места поэтому нам сказали (один из тим-лидеров) отправить форму о технической ошибке и НЕ выбирать никакой проект В итоге мне был присвоен другой проект Можно ли вернуться на первый проект или это уже невозможно?"
30,Здравствуйте Бутузова Диана группа 231-013 Вышла из академического отпуска и должна была распределиться на проект автоматически по остаточному принципу В ЛК написано что на проект я распределена но во всех пунктах стоят прочерки Также имеется информация о том что у меня имеется задолженность за прошлое полугодие (время академического отпуска) Как узнать свой проект и связаться с куратором? Куда обратиться для исправления информации о задолженности?
31,Здравствуйте Я Ильиных Анастасия из группы 231-661 12 июля был выбор проектов нашего факультета но у меня уже автоматом стоял проект хотя я его не выбирала Заполняла форму два раза писала на почту и в чат чтобы решить эту проблему но мне так никто и не ответил Хотела попасть в проект «Семья как совместный проект» но выбора даже не было Можно ли уже решить эту несправедливую проблему? Прошло уже больше месяца а ответ так и не поступил
32,Здравствуйте я наоборот не попала под распределение и у меня нет никакого проекта (из за академа видимо) Как можно попасть куда либо? Группа 231-812 Агапова Екатерина
33,@Ivan_Petukhov_1 Добрый день я Кулагин Дмитрий Александрович группа 211-221 Попал под автораспределение как можно изменить проект?
